org,category,group,product,date,unit_price,amazon,wal-mart,target,costco,family dollar,dollar general,cvs,kroger,walgreens,rite aid,ahold,safeway,brand
Ice Cream,B&J INGREDIENTS,B&J FOODSERVICE INGRED,0815 - B&J 4-1 GALLON,1/1/17,45.75,0,742,403,282,150,152,147,146,136,109,87,48,B&J
Ice Cream,B&J INGREDIENTS,B&J FOODSERVICE INGRED,0815 - B&J 4-1 GALLON,1/1/17,45.75,0,564,319,216,115,118,115,114,107,83,69,39,B&J
Ice Cream,B&J INGREDIENTS,B&J FOODSERVICE INGRED,0R0Z - 6-6 LB B&J BATTER,1/1/17,81.84,0,366,207,139,75,76,72,72,69,54,44,24,B&J
Ice Cream,B&J INGREDIENTS,B&J FOODSERVICE INGRED,0R0Z - 6-6 LB B&J BATTER,1/1/17,81.84,0,531,295,198,108,106,105,104,98,78,64,35,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J IMPULSE,0M0S - IMP B&J BARS,1/1/17,13.31,0,12807,7112,5009,2672,2666,2575,2667,2475,1930,1603,879,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J IMPULSE,0M0S - IMP B&J BARS,1/1/17,13.31,0,18896,10606,7182,3883,3926,3791,3793,3538,2794,2319,1253,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J IMPULSE,0M0S - IMP B&J BARS,1/1/17,13.31,0,29573,16276,11418,6217,6179,5893,5965,5668,4426,3607,2041,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J IMPULSE,0M0S - IMP B&J BARS,1/1/17,13.31,0,3649,1990,1371,738,743,736,729,685,525,443,240,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,131,73,51,27,27,26,26,24,19,15,8,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,2439,1373,939,510,515,487,486,462,367,305,168,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,45,25,17,9,9,9,9,8,6,5,3,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1019,571,394,214,212,201,205,193,148,125,69,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,184,102,70,38,37,37,36,34,26,22,12,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,835,463,324,172,171,170,170,155,122,100,57,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1338,739,503,274,275,268,269,253,192,161,89,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,809,464,320,169,168,167,167,152,119,99,55,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1975,1098,757,401,402,398,388,363,294,242,133,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1393,791,539,291,288,290,286,270,206,172,95,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,14873,8332,5707,3066,3024,2910,3010,2817,2210,1808,998,B&J
